@relation dTree

@attribute x {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute y {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute r {0, -300, 300}

@data
S18,S17,300
S18,S18,300
S17,S18,0
S17,S19,-300
S17,S19,-300
S17,S18,0
S16,S18,0
S16,S17,0
S16,S18,0
S15,S18,0
S15,S18,0
S14,S18,0
S14,S19,-300
S14,S19,-300
S14,S19,-300
S15,S19,-300
S16,S19,-300
S17,S19,-300
S18,S19,-300
S19,S19,-300
S19,S18,-300
S18,S18,300
S18,S17,300
S18,S16,0
S18,S17,300
S18,S16,0
S17,S16,300
S17,S16,300
S17,S15,300
S17,S15,300
S17,S14,300
S18,S14,0
S18,S15,0
S18,S14,0
S18,S13,0
S18,S13,0
S19,S13,-300
S19,S13,-300
S19,S12,-300
S19,S12,-300
S18,S12,0
S19,S12,-300
S19,S13,-300
S19,S14,-300
S18,S14,0
S18,S14,0
S18,S15,0
S17,S15,300
S18,S15,0
S18,S14,0
S18,S15,0
S17,S15,300
S17,S14,300
S17,S15,300
S16,S15,0
S15,S15,0
S15,S16,0
S15,S15,0
S15,S16,0
S15,S16,0
S14,S16,0
S15,S16,0
S15,S16,0
S14,S16,0
S15,S16,0
S16,S16,0
S16,S16,0
S16,S15,0
S16,S14,0
S16,S14,0
S15,S14,0
S16,S14,0
S16,S14,0
S17,S14,300
S17,S15,300
S17,S15,300
S17,S16,300
S17,S15,300
S18,S15,0
S19,S15,-300
S18,S15,0
S18,S15,0
S18,S15,0
S18,S15,0
S18,S16,0
S18,S15,0
S19,S15,-300
S18,S15,0
S19,S15,-300
S19,S15,-300
S19,S15,-300
S18,S15,0
S18,S16,0
S19,S16,-300
S19,S15,-300
S18,S15,0
S18,S15,0
S18,S15,0
S18,S14,0
S18,S13,0
S17,S13,0
S17,S12,0
S17,S13,0
S17,S14,300
S16,S14,0
S16,S14,0
S15,S14,0
S15,S13,0
S15,S12,0
S15,S12,0
S14,S12,0
S14,S11,0
S14,S12,0
S14,S11,0
S15,S11,300
S16,S11,0
S15,S11,300
S16,S11,0
S16,S10,0
S16,S10,0
S15,S10,300
S14,S10,0
S13,S10,0
S13,S11,0
S13,S12,0
S14,S12,0
S13,S12,0
S13,S12,0
S14,S12,0
S15,S12,0
S15,S11,300
S14,S11,0
S14,S11,0
S13,S11,0
S13,S10,0
S12,S10,0
S12,S10,0
S12,S11,0
S12,S10,0
S12,S9,0
S11,S9,0
S11,S9,0
S11,S9,0
S10,S9,0
S9,S9,0
S9,S10,0
S10,S10,0
S9,S10,0
S8,S10,0
S8,S11,0
S8,S10,0
S8,S9,0
S9,S9,0
S10,S9,0
S9,S9,0
S9,S8,0
S10,S8,0
S10,S7,0
S10,S8,0
S10,S7,0
S11,S7,0
S11,S6,0
S11,S5,300
S11,S6,0
S11,S5,300
S10,S5,300
S10,S5,300
S10,S5,300
S10,S6,0
S11,S6,0
S10,S6,0
S10,S6,0
S10,S7,0
S9,S7,0
S9,S6,0
S8,S6,0
S7,S6,0
S7,S6,0
S8,S6,0
S8,S5,0
S7,S5,0
S7,S6,0
S7,S5,0
S7,S4,0
S8,S4,300
S9,S4,0
S9,S3,0
S10,S3,0
S10,S4,0
S10,S4,0
S10,S4,0
S10,S4,0
S9,S4,0
S9,S4,0
S8,S4,300
S8,S4,300
S8,S4,300
S8,S5,0
S7,S5,0
S7,S4,0
S7,S5,0
S6,S5,0
S5,S5,0
S4,S5,0
S4,S4,0
S4,S4,0
S4,S3,0
S3,S3,0
S3,S4,0
S3,S5,0
S3,S5,0
S3,S6,0
S4,S6,0
S4,S7,0
S4,S6,0
S3,S6,0
S2,S6,0
S3,S6,0
S3,S5,0
S4,S5,0
S4,S5,0
S4,S6,0
S4,S6,0
S4,S7,0
S4,S8,0
S5,S8,0
S5,S7,0
S5,S7,0
S6,S7,0
S6,S8,0
S6,S7,0
S6,S8,0
S6,S7,0
S6,S7,0
S6,S6,0
S6,S6,0
S6,S5,0
S7,S5,0
S7,S5,0
S7,S4,0
S7,S5,0
S8,S5,0
S8,S4,300
S8,S3,0
S8,S4,300
S8,S4,300
S9,S4,0
S8,S4,300
S9,S4,0
S9,S5,300
S9,S5,300
S9,S6,0
S9,S5,300
S9,S6,0
S10,S6,0
S9,S6,0
S10,S6,0
S10,S6,0
S10,S7,0
S10,S8,0
S10,S9,0
S9,S9,0
S9,S10,0
S9,S11,0
S9,S11,0
S9,S11,0
S10,S11,0
S10,S10,0
S10,S11,0
S10,S10,0
S10,S9,0
S9,S9,0
S9,S8,0
S9,S7,0
S9,S6,0
S9,S5,300
S10,S5,300
S10,S6,0
S11,S6,0
S10,S6,0
S10,S5,300
S10,S6,0
S10,S7,0
S10,S7,0
S11,S7,0
S11,S8,0
S12,S8,0
S12,S7,0
S12,S7,0
S12,S8,0
S13,S8,0
S13,S7,300
S13,S6,0
S13,S5,0
S14,S5,0
S14,S4,0
S14,S3,0
S13,S3,0
S12,S3,0
S11,S3,0
S11,S2,0
S11,S1,0
S11,S0,-300
S12,S0,-300
S12,S1,0
S12,S0,-300
S12,S1,0
S12,S2,0
S12,S3,0
S11,S3,0
S11,S2,0
S11,S3,0
S11,S4,0
S12,S4,0
