Q	a	r
q12	2	0
q12	4	0
q12	4	0
q12	2	0
q12	3	0
q12	0	0
q12	4	0
q12	1	0
q12	4	0
q12	1	0
q12	1	0
q12	4	0
q12	1	0
q12	2	0
q12	4	0
q12	4	0
q12	4	0
q12	2	0
q12	0	0
q12	3	0
q12	0	0
q12	3	0
q12	2	0
q12	3	0
q12	1	0
q12	0	0
q12	1	0
q12	0	0
q12	1	0
q12	4	0
q12	4	0
q12	4	0
q12	2	0
q12	3	0
q12	2	0
q12	4	0
q12	1	0
q12	3	0
q12	2	0
q12	0	0
q12	3	0
q12	2	0
q12	0	0
q12	0	0
q12	2	0
q12	1	0
q12	2	0
q12	2	0
q12	4	0
q12	2	0
q12	1	0
q12	2	0
q12	3	0
q12	1	0
q12	4	0
q12	3	0
q12	0	0
q12	1	0
q12	0	0
q12	0	0
q12	2	0
q12	0	0
q12	3	0
q12	2	0
q12	4	0
q12	1	0
q12	4	0
q12	2	0
q12	2	0
q12	4	0
q12	1	0
q12	1	0
q12	2	0
q12	3	0
q12	4	0
q12	0	0
q12	3	0
q12	4	0
q12	3	0
q12	4	0
q12	2	0
q12	1	0
q12	0	0
q12	2	0
q12	0	0
q12	1	0
q12	3	0
q12	0	0
q12	0	0
q12	1	0
q12	2	0
q12	3	0
q12	0	0
q12	0	0
q12	0	0
q12	2	0
q12	4	0
q12	0	0
q12	3	0
q12	3	0
q12	2	0
q12	2	0
q12	3	0
q12	1	0
q12	2	0
q12	2	0
q12	0	0
q12	2	0
q12	0	0
q12	4	0
q12	2	0
q12	4	0
q12	4	0
q12	2	0
q12	2	0
q12	0	0
q21	4	0
q21	1	0
q12	2	0
q12	1	0
q12	3	0
q12	2	0
q12	1	0
q12	3	0
q12	0	0
q12	2	0
q12	0	0
q12	0	0
q21	1	0
q12	0	0
q21	3	0
q21	3	0
q21	4	0
q21	4	0
q21	4	0
q21	4	0
q21	4	0
q21	3	0
q21	3	0
q21	0	0
q21	4	0
q21	4	0
q21	0	0
q21	3	0
q21	4	0
q21	1	0
q21	4	0
q21	1	0
q21	1	0
q12	2	0
q12	1	0
q12	1	0
q12	2	0
q12	2	0
q12	3	0
q12	0	0
q12	0	0
q12	0	0
q21	1	0
q12	3	0
q12	2	0
q12	3	0
q12	2	0
q12	0	0
q21	2	0
q21	1	0
q12	3	0
q12	0	0
q21	0	0
q21	0	0
q21	2	0
q21	2	0
q21	1	0
q21	0	0
q21	1	0
q21	1	0
q21	0	0
q21	2	0
q21	1	0
q21	2	0
q21	1	0
q12	3	0
q12	2	0
q12	1	0
q12	3	0
q12	0	0
q12	1	0
q12	1	0
q12	2	0
q12	3	0
q12	1	0
q12	3	0
q12	3	0
q12	3	0
q12	1	0
q12	3	0
q12	1	0
q12	2	0
q12	3	0
q12	2	0
q12	1	0
q12	3	0
q12	4	0
q12	0	0
q12	1	0
q12	4	0
q12	0	0
q12	0	0
q12	1	0
q12	0	0
q12	4	0
q12	3	0
q12	0	0
q12	0	0
q12	1	0
q12	4	0
q12	1	0
q12	1	0
q12	0	0
q12	4	0
q12	1	0
q12	4	0
q12	0	0
q12	0	0
q12	1	0
q12	2	0
q12	3	0
q12	3	0
q12	2	0
q12	0	0
q12	2	0
q12	0	0
q12	2	0
q12	2	0
q12	4	0
q12	0	0
q12	1	0
q12	0	0
q12	0	0
q12	3	0
q12	2	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	4	0
q12	0	0
q21	0	0
q21	4	0
q21	3	0
q21	4	0
q21	4	0
q21	0	0
q21	3	0
q21	1	0
q21	0	0
q21	1	0
q21	4	0
q21	1	0
q21	4	0
q21	2	0
q21	3	0
q21	2	0
q21	1	0
q12	3	0
q12	1	0
q12	3	0
q12	3	0
q12	0	0
q12	2	0
q12	2	0
q12	0	0
q21	0	0
q21	4	0
q21	3	0
q14	1	0
q14	3	0
q14	0	0
q14	3	0
q13	2	0
q14	3	0
q13	1	0
q13	2	0
q14	2	0
q14	1	0
q12	0	0
q14	4	0
q14	1	0
q12	1	0
q12	2	0
q12	3	0
q12	1	0
q12	0	0
q12	0	0
q12	1	0
q12	2	0
q12	4	0
q12	1	0
q12	0	0
q12	3	0
q12	4	0
q12	2	0
q12	1	0
q12	4	0
q12	4	0
q12	2	0
q12	0	0
q12	0	0
q12	0	0
q21	0	0
q21	2	0
q21	2	0
q21	0	0
q21	4	0
q21	1	0
q21	0	0
q21	2	0
q21	1	0
q21	4	0
q21	4	0
q21	0	0
q21	3	0
q21	3	0
q21	2	0
q21	0	0
q21	4	0
q21	1	0
q21	4	0
q21	3	0
q21	1	0
q21	1	0
q21	1	0
q12	2	0
q12	2	0
q12	2	0
q12	1	0
q12	1	0
q12	4	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	1	0
q12	4	0
q12	4	0
q12	3	0
q12	2	0
q12	2	0
q12	4	0
q12	2	0
q12	4	0
q12	4	0
q12	4	0
q12	3	0
q12	3	0
q12	4	0
q12	1	0
q12	1	0
q12	2	0
q12	1	0
q12	4	0
q12	2	0
q12	3	0
q12	0	0
q12	3	0
q12	1	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	0	0
q12	0	0
q12	3	0
q12	0	0
q12	4	0
q12	4	0
q12	4	0
q12	1	0
q12	3	0
q12	4	0
q12	3	0
q12	0	0
q12	2	0
q12	4	0
q12	0	0
q12	2	0
q12	3	0
q12	1	0
q12	0	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	4	0
q12	1	0
q12	2	0
q12	4	0
q12	4	0
q12	2	0
q12	1	0
q12	2	0
q12	4	0
q12	0	0
q12	1	0
q12	4	0
q12	3	0
q12	4	0
q12	2	0
q12	0	0
q12	2	0
q12	4	0
q12	1	0
q12	2	0
q12	4	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	0	0
q12	2	0
q12	0	0
q12	0	0
q12	4	0
q12	1	0
q12	1	0
q12	3	0
q12	0	0
q12	3	0
q12	3	0
q12	3	0
q12	2	0
q12	0	0
q12	2	0
q12	4	0
q12	0	0
q12	4	0
q12	3	0
q12	2	0
q12	3	0
q12	1	0
q12	3	0
q12	2	0
q12	2	0
q12	1	0
q12	1	0
q12	3	0
q12	4	0
q12	2	0
q12	3	0
q12	0	0
q12	0	0
q12	2	0
q12	2	0
q12	4	0
q12	0	0
q12	1	0
q12	4	0
q12	2	0
q12	1	0
q12	3	0
q12	1	0
q12	1	0
q12	0	0
q12	3	0
q12	3	0
q12	0	0
q12	0	0
q12	4	0
q12	0	0
q12	2	0
q12	2	0
q12	1	0
q12	0	0
q12	2	0
q12	0	0
q21	3	0
