Q	a	r
q13	2	0
q17	1	0
q17	3	0
q13	3	0
q13	2	0
q13	2	0
q17	4	0
q17	4	0
q17	2	0
q32	1	0
q32	1	0
q32	4	0
q32	4	0
q32	4	0
q32	2	0
q32	3	0
q32	4	0
q32	4	0
q32	1	0
q32	4	0
q32	1	0
q30	1	0
q25	3	0
q17	1	0
q17	2	0
q25	2	0
q25	4	0
q25	4	0
q25	3	0
q25	0	0
q25	1	0
q25	0	0
q25	2	0
q25	4	0
q25	4	0
q25	4	0
q25	4	0
q25	2	0
q28	0	300
q30	0	0
q32	1	0
q30	3	0
q30	4	0
q30	3	0
q30	0	0
q32	3	0
q17	1	0
q17	2	0
q30	0	0
q32	2	0
q32	4	0
q32	1	0
q30	3	0
q30	4	0
q30	1	0
q25	0	0
q30	1	0
q25	3	0
q17	3	0
q13	0	0
q13	3	0
q13	1	0
q13	2	0
q13	4	0
q13	4	0
q13	3	0
q13	4	0
q13	4	0
q13	1	0
q13	3	0
q13	4	0
q13	4	0
q13	2	0
q13	2	0
q13	2	0
q17	3	0
q13	1	0
q13	3	0
q13	4	0
q13	0	0
q13	0	0
q13	4	0
q13	4	0
q13	3	0
q13	2	0
q13	2	0
q13	0	0
q13	3	0
q13	0	0
q13	4	0
q13	0	0
q13	0	0
q13	4	0
q13	0	0
q13	1	0
q13	2	0
q13	4	0
q13	4	0
q13	3	0
q13	1	0
q13	4	0
q13	1	0
q13	0	0
q13	0	0
q13	0	0
q13	1	0
q13	1	0
q13	0	0
q13	2	0
q13	1	0
q13	1	0
q13	2	0
q17	1	0
q17	4	0
q17	2	0
q30	4	0
q30	1	0
q25	3	0
q17	2	0
q25	2	0
q25	4	0
q25	0	0
q30	4	0
q30	3	0
q30	0	0
q32	3	0
q17	3	0
q13	1	0
q13	3	0
q13	4	0
q13	4	0
q13	1	0
q13	1	0
q13	1	0
q13	4	0
q13	3	0
q13	2	0
q13	4	0
q13	1	0
q13	3	0
q13	2	0
q13	2	0
q13	3	0
q13	3	0
q13	2	0
q13	3	0
q13	1	0
q8	4	0
q8	2	0
q8	1	0
q8	4	0
q8	2	0
q10	3	0
q8	2	0
q10	0	0
q10	1	0
q10	1	0
q6	0	300
q10	3	0
q8	4	0
q8	4	0
q8	0	0
q8	1	0
q8	0	0
q8	4	0
q8	3	0
